sampid,famid,ssex,Plate,Tray,area_wk3,perim_wk3,circ_wk3,Days_gam,Total_gam
P_24_5_16,33,f,20C,Tray 4,0.793086155,7.610546849,0.171980133,22,15
P_24_5_15,33,f,17A,Tray 7,0.703907283,4.39052936,0.458639364,22,5
P_24_5_15,33,f,17B,Tray 7,0.495331605,3.728122688,0.447615675,22,4
P_24_5_15,33,f,17C,Tray 7,0.65345659,3.83655075,0.557602211,22,0
P_24_5_16,33,f,14A,Tray 8,0.872795625,6.136745813,0.291089091,22,16
P_24_5_14,33,f,25A,Tray 8,0.113307071,1.961592789,0.369852824,22,6
P_24_5_14,33,f,25B,Tray 8,0.056621865,1.376336853,0.375425988,7,2
P_24_5_14,33,f,25C,Tray 8,0.249163353,3.160355149,0.313330034,22,10
P_24_5_18,33,m,24A,Tray 1,0.214253699,2.251294814,0.530949513,22,0
P_24_5_17,33,m,21A,Tray 10,0.88247767,4.706127665,0.500456064,17,2
P_24_5_17,33,m,21B,Tray 10,0.947397138,5.613573687,0.377609448,15,6
P_24_5_17,33,m,21C,Tray 10,0.813821114,4.008206094,0.636236389,22,14
P_24_5_6,33,m,23A,Tray 11,0.696292852,4.345866685,0.463050947,7,12
P_24_5_6,33,m,23B,Tray 14,0.316471662,2.55155714,0.610539645,19,1
P_24_5_6,33,m,23C,Tray 15,0.07116303,1.471850407,0.412588125,22,7
P_24_5_18,33,m,24B,Tray 2,0.358321622,2.609739692,0.66079732,22,0
P_24_5_18,33,m,24C,Tray 3,0.244829054,2.097060604,0.699247031,22,0
P_24_6_20,34,f,29A,Tray 11,0.663315084,5.336718908,0.292523564,22,2
P_24_6_20,34,f,29B,Tray 14,0.617266554,4.556265555,0.373460203,22,2
P_24_6_20,34,f,29C,Tray 15,0.596332526,4.577789736,0.357409799,22,1
P_24_6_7,34,f,6B,Tray 3,0.887522287,4.821349297,0.479547592,22,0
P_24_6_7,34,f,6C,Tray 4,0.623442251,3.696912625,0.572937829,22,0
P_24_6_7,34,f,6A,Tray 8,0.961933778,5.950359857,0.341230901,22,1
P_24_6_15,34,f,31A,Tray 9,0.970887408,8.866751867,0.155106286,22,2
P_24_6_15,34,f,31B,Tray 9,0.921508979,8.446290442,0.16223972,22,2
P_24_6_15,34,f,31C,Tray 9,0.569005633,5.980157396,0.199839335,22,3
P_24_6_13,34,m,30A,Tray 1,0.928919815,8.874890698,0.148129597,22,10
